date,hour,energy_kWh
16-06-2012,11,0.498
16-06-2012,12,1.296
16-06-2012,13,0.691
16-06-2012,14,0.668
16-06-2012,15,1.184
16-06-2012,16,0.614
16-06-2012,17,0.47
16-06-2012,18,0.469
16-06-2012,19,0.459
16-06-2012,20,0.83
16-06-2012,21,0.491
16-06-2012,22,0.454
16-06-2012,23,0.847
17-06-2012,0,0.461
17-06-2012,1,0.642
17-06-2012,2,0.776
17-06-2012,3,0.495
17-06-2012,4,0.826
17-06-2012,5,0.891
17-06-2012,6,0.49
17-06-2012,7,0.955
17-06-2012,8,0.417
17-06-2012,9,0.883
17-06-2012,10,0.941
17-06-2012,11,0.959
17-06-2012,12,0.976
17-06-2012,13,0.993
17-06-2012,14,1.008
17-06-2012,15,1.021
17-06-2012,16,1.033
17-06-2012,17,1.043
17-06-2012,18,1.051
17-06-2012,19,1.056
17-06-2012,20,1.059
17-06-2012,21,1.058
17-06-2012,22,1.054
17-06-2012,23,1.047
18-06-2012,0,1.036
18-06-2012,1,1.021
18-06-2012,2,0.516
18-06-2012,3,0.931
18-06-2012,4,0.451
18-06-2012,5,0.884
18-06-2012,6,0.897
18-06-2012,7,0.747
18-06-2012,8,0.883
18-06-2012,9,0.857
18-06-2012,10,0.46
18-06-2012,11,0.848
18-06-2012,12,0.416
18-06-2012,13,0.474
18-06-2012,14,0.438
18-06-2012,15,0.441
18-06-2012,16,0.616
18-06-2012,17,0.611
18-06-2012,18,1.293
18-06-2012,19,1.36
18-06-2012,20,1.434
18-06-2012,21,1.514
18-06-2012,22,1.599
18-06-2012,23,1.687
19-06-2012,0,1.777
19-06-2012,1,1.868
19-06-2012,2,0.455
19-06-2012,3,0.475
19-06-2012,4,0.495
19-06-2012,5,0.513
19-06-2012,6,0.531
19-06-2012,7,0.546
19-06-2012,8,0.56
19-06-2012,9,0.571
19-06-2012,10,2.444
19-06-2012,11,0.637
19-06-2012,12,0.689
19-06-2012,13,2.123
19-06-2012,14,0.708
19-06-2012,15,1.313
19-06-2012,16,0.633
19-06-2012,17,0.902
19-06-2012,18,0.799
19-06-2012,19,3.363
19-06-2012,20,0.689
19-06-2012,21,0.665
19-06-2012,22,1.263
19-06-2012,23,0.737
20-06-2012,0,0.474
20-06-2012,1,0.434
20-06-2012,2,0.502
20-06-2012,3,0.462
20-06-2012,4,0.457
20-06-2012,5,0.506
20-06-2012,6,0.888
20-06-2012,7,0.978
20-06-2012,8,0.485
20-06-2012,9,0.623
20-06-2012,10,0.527
20-06-2012,11,0.614
20-06-2012,12,0.476
20-06-2012,13,0.463
20-06-2012,14,0.486
20-06-2012,15,0.572
20-06-2012,16,0.615
20-06-2012,17,0.918
20-06-2012,18,2.548
20-06-2012,19,2.448
20-06-2012,20,1.024
20-06-2012,21,1.098
20-06-2012,22,0.796
20-06-2012,23,0.647
21-06-2012,0,1.131
21-06-2012,1,0.5
21-06-2012,2,0.463
21-06-2012,3,0.49
21-06-2012,4,0.49
21-06-2012,5,0.566
21-06-2012,6,0.824
21-06-2012,7,1.485
21-06-2012,8,0.539
21-06-2012,9,0.461
21-06-2012,10,0.543
21-06-2012,11,0.46
21-06-2012,12,0.512
21-06-2012,13,0.977
21-06-2012,14,0.574
21-06-2012,15,0.871
21-06-2012,16,1.711
21-06-2012,17,1.395
21-06-2012,18,1.36
21-06-2012,19,1.105
21-06-2012,20,1.511
21-06-2012,21,1.261
21-06-2012,22,1.054
21-06-2012,23,0.648
22-06-2012,0,0.528
22-06-2012,1,0.489
22-06-2012,2,0.536
22-06-2012,3,0.458
22-06-2012,4,0.528
22-06-2012,5,0.482
22-06-2012,6,0.779
22-06-2012,7,1.023
22-06-2012,8,0.762
22-06-2012,9,0.584
22-06-2012,10,1.138
22-06-2012,11,2.536
22-06-2012,12,3.023
22-06-2012,13,0.977
22-06-2012,14,0.871
22-06-2012,15,0.855
22-06-2012,16,1.098
22-06-2012,17,1.685
22-06-2012,18,1.602
22-06-2012,19,1.274
22-06-2012,20,1.202
22-06-2012,21,1.21
22-06-2012,22,2.318
22-06-2012,23,0.544
23-06-2012,0,0.511
23-06-2012,1,0.53
23-06-2012,2,0.58
23-06-2012,3,0.551
23-06-2012,4,0.467
23-06-2012,5,0.789
23-06-2012,6,0.47
23-06-2012,7,0.704
23-06-2012,8,0.759
23-06-2012,9,1.103
23-06-2012,10,0.724
23-06-2012,11,0.521
23-06-2012,12,0.49
23-06-2012,13,0.681
23-06-2012,14,0.512
23-06-2012,15,0.562
23-06-2012,16,0.994
23-06-2012,17,0.525
23-06-2012,18,1.213
23-06-2012,19,1.205
23-06-2012,20,1.195
23-06-2012,21,1.184
23-06-2012,22,1.173
23-06-2012,23,1.16
24-06-2012,0,1.146
24-06-2012,1,1.132
24-06-2012,2,0.816
24-06-2012,3,0.805
24-06-2012,4,0.794
24-06-2012,5,0.782
24-06-2012,6,0.771
24-06-2012,7,0.759
24-06-2012,8,0.748
24-06-2012,9,0.737
24-06-2012,10,0.727
24-06-2012,11,0.716
24-06-2012,12,0.707
24-06-2012,13,0.698
24-06-2012,14,0.689
24-06-2012,15,0.682
24-06-2012,16,0.676
24-06-2012,17,0.67
24-06-2012,18,0.666
24-06-2012,19,0.663
24-06-2012,20,0.661
24-06-2012,21,0.66
24-06-2012,22,0.661
24-06-2012,23,0.664
25-06-2012,0,0.668
25-06-2012,1,0.674
25-06-2012,2,1.136
25-06-2012,3,1.153
25-06-2012,4,1.173
25-06-2012,5,1.197
25-06-2012,6,1.224
25-06-2012,7,1.255
25-06-2012,8,1.291
25-06-2012,9,1.33
25-06-2012,10,0.495
25-06-2012,11,0.456
25-06-2012,12,0.483
25-06-2012,13,0.47
25-06-2012,14,0.639
25-06-2012,15,0.662
25-06-2012,16,1.308
25-06-2012,17,0.867
25-06-2012,18,0.761
25-06-2012,19,1.16
25-06-2012,20,0.973
25-06-2012,21,1.184
25-06-2012,22,1.015
25-06-2012,23,1.025
26-06-2012,0,0.601
26-06-2012,1,0.495
26-06-2012,2,0.497
26-06-2012,3,0.506
26-06-2012,4,0.478
26-06-2012,5,0.502
26-06-2012,6,0.633
26-06-2012,7,0.952
26-06-2012,8,0.505
26-06-2012,9,1.047
26-06-2012,10,0.683
26-06-2012,11,2.702
26-06-2012,12,0.897
26-06-2012,13,1.916
26-06-2012,14,4.452
26-06-2012,15,1.02
26-06-2012,16,1.302
26-06-2012,17,1.248
26-06-2012,18,3.446
26-06-2012,19,0.95
26-06-2012,20,1.503
26-06-2012,21,1.873
26-06-2012,22,1.349
26-06-2012,23,1.079
27-06-2012,0,0.513
27-06-2012,1,0.477
27-06-2012,2,0.511
27-06-2012,3,0.492
27-06-2012,4,0.464
27-06-2012,5,0.506
27-06-2012,6,0.548
27-06-2012,7,0.962
27-06-2012,8,0.472
27-06-2012,9,0.742
27-06-2012,10,0.802
27-06-2012,11,0.692
27-06-2012,12,0.671
27-06-2012,13,0.61
27-06-2012,14,0.796
27-06-2012,15,0.694
27-06-2012,16,1.071
27-06-2012,17,1.255
27-06-2012,18,0.937
27-06-2012,19,0.788
27-06-2012,20,0.929
27-06-2012,21,1.115
27-06-2012,22,3.223
27-06-2012,23,2.178
28-06-2012,0,0.673
28-06-2012,1,0.557
28-06-2012,2,0.529
28-06-2012,3,0.537
28-06-2012,4,0.552
28-06-2012,5,0.607
28-06-2012,6,0.582
28-06-2012,7,1.053
28-06-2012,8,0.97
28-06-2012,9,1.098
28-06-2012,10,1.09
28-06-2012,11,0.557
28-06-2012,12,0.532
28-06-2012,13,0.836
28-06-2012,14,0.707
28-06-2012,15,0.88
28-06-2012,16,1.1
28-06-2012,17,1.55
28-06-2012,18,1.239
28-06-2012,19,1.238
28-06-2012,20,1.218
28-06-2012,21,1.183
28-06-2012,22,1.136
28-06-2012,23,1.079
29-06-2012,0,1.017
29-06-2012,1,0.951
29-06-2012,2,0.581
29-06-2012,3,0.511
29-06-2012,4,0.537
29-06-2012,5,0.542
29-06-2012,6,0.928
29-06-2012,7,1.018
29-06-2012,8,0.534
29-06-2012,9,0.53
29-06-2012,10,0.764
29-06-2012,11,0.711
29-06-2012,12,0.618
29-06-2012,13,0.711
29-06-2012,14,0.712
29-06-2012,15,0.874
29-06-2012,16,1.088
29-06-2012,17,0.513
29-06-2012,18,0.758
29-06-2012,19,0.848
29-06-2012,20,1.275
29-06-2012,21,0.766
29-06-2012,22,1.147
29-06-2012,23,0.769
30-06-2012,0,0.549
30-06-2012,1,0.54
30-06-2012,2,0.554
30-06-2012,3,0.784
30-06-2012,4,0.54
30-06-2012,5,0.554
30-06-2012,6,0.492
30-06-2012,7,0.559
30-06-2012,8,0.493
30-06-2012,9,0.89
30-06-2012,10,0.629
30-06-2012,11,0.651
30-06-2012,12,1.082
30-06-2012,13,3.086
30-06-2012,14,1.036
30-06-2012,15,2.35
30-06-2012,16,2.462
30-06-2012,17,1.503
30-06-2012,18,0.979
30-06-2012,19,0.964
30-06-2012,20,0.944
30-06-2012,21,0.918
30-06-2012,22,0.886
30-06-2012,23,0.85
01-07-2012,0,0.809
01-07-2012,1,0.764
01-07-2012,2,0.608
01-07-2012,3,0.536
01-07-2012,4,0.544
01-07-2012,5,0.5
01-07-2012,6,0.807
01-07-2012,7,0.668
01-07-2012,8,0.713
01-07-2012,9,0.546
01-07-2012,10,1.083
01-07-2012,11,0.942
01-07-2012,12,0.808
01-07-2012,13,0.758
01-07-2012,14,0.825
01-07-2012,15,0.846
01-07-2012,16,0.508
01-07-2012,17,0.533
01-07-2012,18,0.521
01-07-2012,19,0.938
01-07-2012,20,0.836
01-07-2012,21,0.858
01-07-2012,22,1.194
01-07-2012,23,1.431
02-07-2012,0,0.736
02-07-2012,1,0.685
02-07-2012,2,0.705
02-07-2012,3,0.671
02-07-2012,4,0.638
02-07-2012,5,0.61
02-07-2012,6,0.587
02-07-2012,7,0.572
02-07-2012,8,0.566
02-07-2012,9,0.571
02-07-2012,10,0.589
02-07-2012,11,0.878
02-07-2012,12,0.774
02-07-2012,13,0.78
02-07-2012,14,0.731
02-07-2012,15,0.955
02-07-2012,16,0.764
02-07-2012,17,0.532
02-07-2012,18,0.798
02-07-2012,19,1.058
02-07-2012,20,1.413
02-07-2012,21,2.658
02-07-2012,22,3.745
02-07-2012,23,1.531
03-07-2012,0,1.071
03-07-2012,1,0.692
03-07-2012,2,0.883
03-07-2012,3,0.903
03-07-2012,4,0.922
03-07-2012,5,0.937
03-07-2012,6,0.95
03-07-2012,7,0.961
03-07-2012,8,0.97
03-07-2012,9,0.976
03-07-2012,10,0.98
03-07-2012,11,0.982
03-07-2012,12,0.981
03-07-2012,13,0.979
03-07-2012,14,0.976
03-07-2012,15,0.97
03-07-2012,16,0.963
03-07-2012,17,0.954
03-07-2012,18,0.944
03-07-2012,19,0.933
03-07-2012,20,0.92
03-07-2012,21,0.906
03-07-2012,22,0.89
03-07-2012,23,0.874
04-07-2012,0,0.857
04-07-2012,1,0.839
04-07-2012,2,0.693
04-07-2012,3,0.676
04-07-2012,4,0.66
04-07-2012,5,0.642
04-07-2012,6,0.624
04-07-2012,7,0.606
04-07-2012,8,0.588
04-07-2012,9,0.57
04-07-2012,10,1.07
04-07-2012,11,1.101
04-07-2012,12,3.364
04-07-2012,13,0.61
04-07-2012,14,0.583
04-07-2012,15,0.486
04-07-2012,16,0.947
04-07-2012,17,1.106
04-07-2012,18,0.405
04-07-2012,19,0.387
04-07-2012,20,0.502
04-07-2012,21,0.859
04-07-2012,22,1.417
04-07-2012,23,1.357
05-07-2012,0,0.703
05-07-2012,1,0.52
05-07-2012,2,0.509
05-07-2012,3,0.496
05-07-2012,4,0.528
05-07-2012,5,0.496
05-07-2012,6,0.501
05-07-2012,7,0.822
05-07-2012,8,0.499
05-07-2012,9,0.525
05-07-2012,10,0.724
05-07-2012,11,0.756
05-07-2012,12,0.524
05-07-2012,13,0.572
05-07-2012,14,0.743
05-07-2012,15,0.577
05-07-2012,16,0.486
05-07-2012,17,1.291
05-07-2012,18,1.083
05-07-2012,19,1.075
05-07-2012,20,1.064
05-07-2012,21,1.053
05-07-2012,22,1.041
05-07-2012,23,1.031
06-07-2012,0,1.024
06-07-2012,1,1.021
06-07-2012,2,0.494
06-07-2012,3,0.542
06-07-2012,4,0.681
06-07-2012,5,0.522
06-07-2012,6,0.507
06-07-2012,7,1.01
06-07-2012,8,0.604
06-07-2012,9,1.135
06-07-2012,10,0.638
06-07-2012,11,1.017
06-07-2012,12,0.698
06-07-2012,13,0.931
06-07-2012,14,1.292
06-07-2012,15,1.432
06-07-2012,16,0.92
06-07-2012,17,0.728
06-07-2012,18,0.758
06-07-2012,19,0.742
06-07-2012,20,0.72
06-07-2012,21,0.693
06-07-2012,22,0.663
06-07-2012,23,0.629
07-07-2012,0,0.593
07-07-2012,1,0.556
07-07-2012,2,0.542
07-07-2012,3,0.509
07-07-2012,4,0.549
07-07-2012,5,0.501
07-07-2012,6,0.552
07-07-2012,7,0.486
07-07-2012,8,0.525
07-07-2012,9,0.864
07-07-2012,10,0.537
07-07-2012,11,0.617
07-07-2012,12,0.529
07-07-2012,13,0.524
07-07-2012,14,0.487
07-07-2012,15,0.565
07-07-2012,16,0.487
07-07-2012,17,0.537
07-07-2012,18,0.519
07-07-2012,19,0.526
07-07-2012,20,0.616
07-07-2012,21,0.596
07-07-2012,22,0.974
07-07-2012,23,1.274
08-07-2012,0,0.781
08-07-2012,1,0.494
08-07-2012,2,0.547
08-07-2012,3,0.518
08-07-2012,4,0.535
08-07-2012,5,0.512
08-07-2012,6,0.534
08-07-2012,7,0.509
08-07-2012,8,0.51
08-07-2012,9,1.088
08-07-2012,10,0.667
08-07-2012,11,0.718
08-07-2012,12,0.635
08-07-2012,13,0.975
08-07-2012,14,2.192
08-07-2012,15,0.488
08-07-2012,16,0.549
08-07-2012,17,1.752
08-07-2012,18,1.766
08-07-2012,19,1.731
08-07-2012,20,1.671
08-07-2012,21,1.592
08-07-2012,22,1.5
08-07-2012,23,1.399
09-07-2012,0,1.297
09-07-2012,1,1.198
09-07-2012,2,0.521
09-07-2012,3,0.548
09-07-2012,4,0.541
09-07-2012,5,0.626
09-07-2012,6,0.581
09-07-2012,7,0.564
09-07-2012,8,0.525
09-07-2012,9,1.008
09-07-2012,10,0.726
09-07-2012,11,0.744
09-07-2012,12,1.877
09-07-2012,13,0.9
09-07-2012,14,1.264
09-07-2012,15,1.089
09-07-2012,16,2.536
09-07-2012,17,2.979
09-07-2012,18,0
09-07-2012,19,2.327
09-07-2012,20,2.56
09-07-2012,21,2.034
09-07-2012,22,1.47
09-07-2012,23,0.921
10-07-2012,0,0.627
10-07-2012,1,0.577
10-07-2012,2,0.558
10-07-2012,3,0.548
10-07-2012,4,0.701
10-07-2012,5,0.574
10-07-2012,6,0.555
10-07-2012,7,0.815
10-07-2012,8,0.589
10-07-2012,9,0.703
10-07-2012,10,0.505
10-07-2012,11,0.441
10-07-2012,12,0.412
10-07-2012,13,0.414
10-07-2012,14,0.445
10-07-2012,15,0.5
10-07-2012,16,0.577
10-07-2012,17,0.671
10-07-2012,18,0.78
10-07-2012,19,0.9
10-07-2012,20,1.028
10-07-2012,21,1.161
10-07-2012,22,1.294
10-07-2012,23,1.424
11-07-2012,0,1.549
11-07-2012,1,1.664
11-07-2012,2,0.58
11-07-2012,3,0.281
11-07-2012,4,0.577
11-07-2012,5,0.542
11-07-2012,6,0.302
11-07-2012,7,0.89
11-07-2012,8,0.77
11-07-2012,9,0.678
11-07-2012,10,0.732
11-07-2012,11,0.628
11-07-2012,12,0.563
11-07-2012,13,0.746
11-07-2012,14,0.895
11-07-2012,15,1.195
11-07-2012,16,0.912
11-07-2012,17,1.077
11-07-2012,18,0.354
11-07-2012,19,0.594
11-07-2012,20,0.558
11-07-2012,21,0.549
11-07-2012,22,1.237
11-07-2012,23,1.564
